人员,店铺名称,地址,店铺类型,VISIT DATE 最近3次日期,店铺数量（连锁店标注店铺数量，单店填1）,"评级/Ranking（S,A+,A,B)s>60pcs/daily,A+>40pcs daily,A>30pcs/dailyB<30PCS/DAILY",老板/采购/Decision maker,电话/Phone,卖进情况（已卖进/待跟进/拒绝/寄售）,合作意愿（愿意拿货-极高，有兴趣进一步了解/愿意放试抽盒-高，只要样机-中，没兴趣-低）,"拜访日志（带日期）
动态更新（最近两次）",是否留样机,是否放试抽盒,主要拿货二级/Main distros to Purchase,"POP UP Situation 
1、flow of people
2、How many people buy vapes
3、How many people buy VOZOL products（带日期，保留最近两次记录）",,,,,,,,,,,,,,,,,,,,,,
,1.592 smoke shop,"5004 Old Winter Garden Rd Suite# 100, Orlando, FL 32811",GAS station,8.19,1,B,.Mr. Akhan,(321) 947-2385,待跟进,,"1.592 smoke shop
5004 Old Winter Garden Rd Suite# 100, Orlando, FL 32811
1.Mr. Akhan manager +1 (321) 947-2385
2.现有的品牌 Razar， 加油站的店中店，零售价17美元，价格实惠，位置人不算少，在黑人区。
3.像对方介绍了一下品牌和网站，觉得我门产品的样子还不错。比较热情，乐于接受新品。店铺面积较小。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,2.stay lit smoke shop,"651 John Young Pkwy, Orlando, FL 32805",smoke shop,8.19,1,B,roena,,待跟进,,"2.stay lit smoke shop
地址：651 John Young Pkwy, Orlando, FL 32805
店铺开了两年，营业员Surrey，老板roena，三四个人倒班，有时候能碰到老板，明天3点以前，老板回来上班;说明了我们的品牌vozol. 店比较小，营业员态度很好。4.8分",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,3.colonial smoke shop,"1916 W Colonial Dr, Orlando, FL 32804",smoke shop,8.19,1,B,David Manager,,待跟进,,"3.colonial smoke shop
1916 W Colonial Dr, Orlando, FL 32804
David Manager, 年长的男的，和老板轮班，留了产品网站，姓名，电话号码，第一次不愿意透露老板的姓名，但是经理和老板都有订货权。询问要名片。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,4.Daily puff smoke shop,"106 N Orange Blossom Trl, Orlando, FL 32805",,8.19,1,A+,Polo，黑人,,待跟进,,"4.Daily puff smoke shop
106 N Orange Blossom Trl, Orlando, FL 32805
老板是黑人，7-35美金的都有, 主流20-35美元
Raze ,lost angel, 位置在路边，生意好，等的时间有4个客人购买，店主Polo， 这家店有很多样品。 看样子来过的人很多",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,5. Twisted Smoke Shop - Orlando,"345 N Orange Ave, Orlando, FL 32801",smoke shop,8.19,3,A+,"侯赛因，摩洛哥人,很少在店里",,待跟进,,"5. Twisted Smoke Shop - Orlando
345 N Orange Ave, Orlando, FL 32801
侯赛因，摩洛哥人，在downtown有3家店
老板也叫侯赛因，出去旅行了。估计要过段时间回来。需要跟老板谈。店员没听过vozol品牌。小连锁",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,6.Elite vape and smoke shop,"57 W Pine St, Orlando, FL 32801",smoke shop,8.19,1,A+,老板好像急着出去，大概聊了一会,,待跟进,,"6.Elite vape and smoke shop 店比较大
57 W Pine St, Orlando, FL 32801
店的规模很大，老板好像急着出去，大概聊了一会，让后面可以带样品再来找他们，两个年轻人开的，像是中东人，对方主动留了名片。主要产品 raze ，Geek bar",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,7. lifted smoke shop,"24 S Orange Ave, Orlando, FL 32801",smoke shop,8.19,1,A+,Rayn 店经理不在,,待跟进,,"7. lifted smoke shop 店铺不算小
24 S Orange Ave, Orlando, FL 32801
Rayn 店经理不在，经理每天早上上班。店员说电子烟这里卖的还可以。对方希望可以看到样品，似乎对品质要求比较高，陈列的都是一些大品牌的产品。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,8.pipe and pouch smoke shop,"59 N Orange Ave, Orlando, FL 3280",smoke shop,8.19,1,A+,经理男的 名字不详,,待跟进,,"8.pipe and pouch smoke shop
59 N Orange Ave, Orlando, FL 3280
店员Ray 白女
经理 不方便透露 男的
店已经开了20年了，Miami mint 口味的卖的比较好，接待过很多推销电子烟的人，希望看到样品，
Raze ,Geek bar 25.99美元",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,1.Sanford smoke shop,"5600 FL-46 #1012, Sanford, FL 32771",smoke shop,8.2,1,A+,Moe,,待跟进,,"Moe,老板人基本不在 ，电子邮件，中东人
manager, Salad -Sal 老板负责进货
sanfordsmokeshop@gmail.com
Raze卖的最好，25只每天，电子烟一共50支每天。有三个主要品牌，Miami mint卖的最好。估计可以配合投放样品",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,2.Bless smoke shop,"1758 Rinehart Rd, Sanford, FL 32771",smoke shop,8.2,1,A+,Adisha中东老板 manager 负责进货,,待跟进,,"经理：Adisha中东老板 manager 负责进货
电话：
店面：很大
进货：elite orlando,
备注：主要产品 Raze ， lost mary. 10分钟内有两个客人，主要产品，烟酒，索要样品。每天所有品牌一起大概50支。愿意投放样品，但是购买意愿不强",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
