shop_id,shop_name,address,city,state,visit_date,units,feedback,decision_maker,restock_status,test_case_placed,next_plan
0fef18db-07de-469f-96b0-9bf2aab7f046,1st smoke shop,2194 Main St Suite B,Dunedin,FL,2026-08-25,0,,,,false,
35a83d91-9ea1-4e81-a663-68610c0c5831,2Cloudy Vape,14100 US Hwy 19 N #112,Clearwater,FL,null,null,null,null,null,null,null
062af74d-00ea-4825-97e6-aa34fb6d4066,49th Smoke Shop - Palm Cloud,3612 49th Street N,St Petersburg,FL,null,null,null,null,null,null,null
b274af20-0a3b-462e-a071-783e629f43b3,66 Smoke Shop,10201 66th St N,Pinellas Park,FL,null,null,null,null,null,null,null
273b7116-01aa-4ca4-8597-646001752962,727 Smoke & Vape,2560 Sunset Point Rd,Clearwater,FL,null,null,null,null,null,null,null
be3d3131-af7a-46a2-becc-a653fbf86853,Area 21 Smoke Shop Clearwater,2054 Gulf To Bay Blvd #3,Clearwater,FL,2026-08-25,0,有两家店；店里促销比较多，raz 2/3；sales manager在店，试了7 strawberry表示非常不错；介绍了价格都比较满意；另一家店销量更好，一天五六十只；留下test station,sales manager,,true,他表示会带过去，也会给合作伙伴发短信介绍我们的产品和商品表
b13ce146-c700-41a9-b6ad-a9fa316fa1d5,Asylum Smoke & Stuff,7149 Ulmerton Rd,Largo,FL,null,null,null,null,null,null,null
f30fbd93-1f06-478e-a6a8-59c5e16e179f,Atomic Smoke Shop,2093 N Highland Ave,Clearwater,FL,2026-08-25,0,碰到4家连锁店其中一个owner Muhammad；他说目前不是很想在店里放新品；如果后面有客户问这个新品，他会去7 star考虑进货,Muhammad,,false,
f30fbd93-1f06-478e-a6a8-59c5e16e179f,Atomic Smoke Shop,2093 N Highland Ave,Clearwater,FL,2026-08-25,0,4家连锁；这家一天能卖30+支；留下test station；店员说不知道老板什么时候会来,,,true,
63cab47f-983c-4a83-87eb-5f0c0082cd16,BEST SMOKE 2,1102 Overcash Dr,Clearwater,FL,null,null,null,null,null,null,null
74a44f45-69a5-46ab-8ac6-96e336d5246e,Blazin smoke,6185 Central Ave,St Petersburg,FL,null,null,null,null,null,null,null
ac1fc35e-6b22-4378-8ead-b31d45263805,Brothers Vape and Smoke Shop,3501 30th Ave N,St Petersburg,FL,null,null,null,null,null,null,null
9a0160cd-a771-417c-b792-fa6e8cf29c0f,Budbuddy smoke shop,1116 34th St N,Clearwater,FL,null,null,null,null,null,null,null
def631e8-c66d-4f67-b61e-f871472ecac0,Cloud 9 Galleries Smokeshop,1661 W Bay Dr,Largo,FL,null,null,null,null,null,null,null
a01bf1b4-8e66-4949-91e2-76bdf211bf1c,Cozy Smoke Shop 1 / Vape & Kratom Bar,178 W Bay Dr,Largo,FL,null,null,null,null,null,null,null
4c64f969-9872-43a0-bb7e-58abec52a33d,DISCOUNT SMOKE SHOP CLEARWATER,1919 Drew St Ste B,Clearwater,FL,2026-08-25,0,日销30+支；留下test station；店主试抽了一下，觉得不错，交换联系方式,mickal,,true,如果他到了，会考虑去7 star进货
18834850-7f2d-4866-9928-6d26ebb5e657,DJ smoke shop,3803 34th St S,Clearwater,FL,null,null,null,null,null,null,null
baba3ca5-3e03-4c36-9558-b5c5a93d4f43,DJ smoke shop 3,1300 S Missouri Ave,Clearwater,FL,2026-08-25,0,三家连锁店；这家工作日10-20一天，周末更好点；店员试抽watermelon，对口味和价格都比较满意；店员喜欢Miami mint,Ena,,false,
740824f9-3b6e-41a7-aca5-7c52d972fdd2,Downtown Vaporium,901 Cleveland St Ste A,Clearwater,FL,2026-08-25,0,一天20-30支；sales manager尝了三种口味都很喜欢，也很喜欢价格；留下test station和联系方式,sales manager,7 star有账户,true,sales manager说会打电话和老板聊一下
246630e2-521b-4536-a305-cc7f51ae8d9e,Exclusive Smokes & Same Day Delivery,7250 Ulmerton Rd,Largo,FL,null,null,null,null,null,null,null
c3dea8d7-57fc-4394-ad62-318b3f008669,Exotic Smoke Shop Hookah Lounge and Kava Bar,1627 Gulf To Bay Blvd,Clearwater,FL,2026-08-25,0,6家连锁；店员说老板135下午四点后可能会在，等今天一会再来看看,,,false,等今天一会再来看看
c3dea8d7-57fc-4394-ad62-318b3f008669,Exotic Smoke Shop Hookah Lounge and Kava Bar,1627 Gulf To Bay Blvd,Clearwater,FL,2026-08-25,0,回来了一次没见到店长；连锁大概5/6家店，会统一拿货；和店员介绍之后留下test station；这家店一天能卖40多只，但要等sales manager才能决定买不买,sales manager,,true,
5b77c343-7dd4-4c8a-abd7-b60b03effca8,Gone With the Wind Smoke Shop,6101 Park Blvd Ste D,Pinellas Park,FL,null,null,null,null,null,null,null
02af8db7-bdca-451b-b0e7-ab6bec7ce5dd,Good Vibes Smoke Shop 2,3800 Tampa Rd #150,Clearwater,FL,null,null,null,null,null,null,null
40d20c88-e51e-42dd-a9a1-b0f53179399b,"Green Leaf Smoke Shop, Kava & Kratom Bar",2820 16th St N,St Petersburg,FL,null,null,null,null,null,null,null
3817a763-78ef-42b3-97bb-e570676ccbe7,HI 5 tobacco and vapor. Smoke Shop,6886 Gulfport Blvd S,Clearwater,FL,null,null,null,null,null,null,null
c87aab7e-953f-479e-a3f2-7fefd42b8276,Higher Up Smoke Shop,3730 Tampa Rd #5,Oldsmar,FL,null,null,null,null,null,null,null
f320e75b-2621-4894-a379-c56127c35131,Highland Smoke Shop & Convenience (Maria’s),1333 N Highland Ave,Clearwater,FL,null,null,null,null,null,null,null
a2cc369a-6e04-42c1-b670-ddc15e20beec,Hookah Sensation Smoke Shop,807 Court St Ste b,Clearwater,FL,2026-08-25,0,7家连锁店；店员说统一采购；店里有vozol 5000的产品但在货架最底下,,,false,
cffc2c44-2580-4b5f-84a7-1120e158da0c,Ignite smoke shop,7320 Central Ave,Clearwater,FL,null,null,null,null,null,null,null
ed78c043-f3d9-478e-a397-164a524bffc9,IndianRocks SmokeShop,1495 Indian Rocks Rd #2,Indian Rocks Beach,FL,null,null,null,null,null,null,null
9af49d9c-b8d7-4dd6-9bee-975db44750c3,Insane Smoke Shop,1841 N Highland Ave #1,Clearwater,FL,2026-08-25,0,连锁店；店长可能三点半来店里；给了店员一个样机，留了电话,,,false,一会再来看看
affeaf69-72ef-4184-a1d2-fba93aa8a952,J&B Smoke Shop,127 Forest Lakes Blvd,Oldsmar,FL,null,null,null,null,null,null,null
a2a81b87-a79b-4cc2-a0b7-fe324aa4d66b,Jungle Smoke Shop,6160 Ulmerton Rd #3,Dunedin,FL,null,null,null,null,null,null,null
dffb02b2-7f28-4fe4-9234-934f309451d4,K O Smoke Shop,24115 US Hwy 19 N,Clearwater,FL,null,null,null,null,null,null,null
1771851a-c143-487d-9797-82387a391cb8,Kwik Stop,7330 Central Ave,St Petersburg,FL,null,null,null,null,null,null,null
b0e52dbe-54b8-4b6d-a151-d7073c9c8f9f,Local Store Smoke Shop and Convenience Store,5825 66th St N,St Petersburg,FL,2026-08-20,0,日销60+，放了test station,,,false,
