人员,店铺名称,地址,店铺类型,VISIT DATE 最近3次日期,店铺数量（连锁店标注店铺数量，单店填1）,"评级/Ranking（S,A+,A,B)s>60pcs/daily,A+>40pcs daily,A>30pcs/dailyB<30PCS/DAILY",老板/采购/Decision maker,电话/Phone,卖进情况（已卖进/待跟进/拒绝/寄售）,合作意愿（愿意拿货-极高，有兴趣进一步了解/愿意放试抽盒-高，只要样机-中，没兴趣-低）,店铺基础信息,是否留样机,是否放试抽盒,主要拿货二级/Main distros to Purchase,"POP UP Situation 
1、flow of people
2、How many people buy vapes
3、How many people buy VOZOL products（带日期，保留最近两次记录）",,,,,,,,,,,,,,,,,,,,,,
初朋,Blue Cloud Vapes,"3970 Tampa Rd C, Oldsmar FL 34677",smoke shop,2026/8/18,1,,David,813-925-9722,待跟进,中,对产品价格很满意，希望可以摆放试抽盒,否,否,Light Fire,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smokers Park Smoke Shop,11695 Sheldon Rd Tampa FL 33626,smoke shop,2026/8/18,1,,Jay/Safe,813-797-1355,待跟进,中,"店家需要试抽盒，让客人反馈，试抽盒进店后可以继续跟进 
8.26这家店是二访，店员让我明天再过来，负责人会在，在考虑试抽盒产品问题",否,否,7 Stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,Society Smoke Shop,9652 W Linebaugh Ave Tampa FL 33626,smoke shop,2026/8/18,1,,,,待跟进,中,询问到老板只有周日或周一在，其它信息全部未知,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Recked Smoke Shop,"8216 W Waters Ave, Tampa, FL 33615",smoke shop,2026/8/18,1,,,,待跟进,中,老板不确定什么时间会在店里，提供了老板的邮箱，可以试着尝试邮箱跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smoke Shop Factory ,"8315 Sheldon Rd, Town 'N' Country, FL 33615",smoke shop,2026/8/18,2,,Bryan,,待跟进,中,无法提供具体信息，老板基本4点之后在，可以继续跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Alibaba Smoke Shop,"8019 W Hillsborough Ave, Town 'N' Country, FL 33615",smoke shop,2026/8/18,3,A+,,,待跟进,中,老板可能在另外一家店，另外一家店面会大一些，店员表示日均40支,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Puffy’s Exotics Smoke Shop,"4715 Normandy Dr, Town 'N' Country, FL 33615",smoke shop,2026/8/18,14,A+,Ayman Abraham,,待跟进,中,一共两个合伙人，分别处理不同的产品，其中Ayman主要负责Vapes，提供另外一家店的地址，整体销量不错，日均40支,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,DJSmoke Shop,"5625 Memorial Hwy, Tampa, FL 33615",smoke shop,2026/8/18,4,,Rick,813-451-2025,待跟进,中,老板周一到周四下午3：30以后在，可以继续跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Alibaba Smoke Shop,"5335 Gunn Hwy, Tampa, FL 33624",smoke shop,2026/8/18,3,S,,,待跟进,中,老板每天大概6点以后会在，店员留了我的联系方式，反馈是生意很好，每个shift能做1600的营业额，店员是拿提成的，也愿意向客户推销，同时老板也愿意上新的产品，希望可以有试抽盒，可以重点跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,813 Food&Vape,"9318 N Nebraska Ave, Tampa, FL 33612",smoke shop,2026/8/18,14,A+,Ayman Abraham,,待跟进,中,这是Ayman的另外一家点，平时主要在这边，今天出去拿货，连续拜访两次都不在，店员联系老板，说下周有时间，并提出可以带些样机或者试抽盒,否,否,,,,,,,,,,,,,,,,,,,,,,,,
